GeneID	Function	Orthogroup
5457	LOC409563	Background	OG0008453
5458	LOC409564	Background	OG0005727
5459	LOC409565	Background	OG0005595
5460	LOC409566	Background	OG0003368
5461	LOC409569	Background	OG0003925
5462	LOC409571	Background	OG0001322
5463	LOC409572	Background	OG0000285
5464	LOC409573	Background	OG0004948
5465	LOC409574	Background	OG0001539
5466	LOC409576	Background	OG0005668
5467	LOC409577	Signalling	OG0007183
5468	LOC409578	Background	OG0007184
5469	LOC409579	Background	OG0002850
5470	LOC409581	Background	OG0000891
5471	LOC409584	Background	OG0000210
5472	LOC409586	Background	OG0007951
5473	LOC409588	Background	OG0000973
5474	LOC409589	Background	OG0000470
5475	LOC409590	Background	OG0008345
5476	LOC409593	Background	OG0004691
5477	LOC409594	Background	OG0001895
5478	LOC409595	Background	OG0006055
5479	LOC409596	Background	OG0001113
5480	LOC409598	Background	OG0001581
5481	LOC409599	Background	OG0007383
5482	LOC409600	Background	OG0001767
5483	LOC409602	Background	OG0001779
5484	LOC409603	Background	Unassigned
5485	LOC409604	Background	OG0001632
5486	LOC409606	Background	OG0006133
5487	LOC409607	Background	OG0006134
5488	LOC409608	Background	OG0006135
5489	LOC409609	Background	OG0007730
5490	LOC409610	Background	OG0000550
5491	LOC409611	Background	OG0005026
5492	LOC409613	Background	OG0004403
5493	LOC409614	Background	OG0007073
5494	LOC409616	Background	OG0001118
5495	LOC409617	Background	OG0007309
5496	LOC409619	Putative Immune	OG0000333
5497	LOC409620	Background	OG0007854
5498	LOC409622	Background	OG0004812
5499	LOC409624	Background	OG0002542
5500	LOC409626	Putative Immune	OG0000160
5501	LOC409628	Background	OG0001782
5502	LOC409631	Putative Immune	OG0000136
5503	LOC409633	Background	OG0008729
5504	LOC409634	Background	OG0000258
5505	LOC409636	Background	OG0000788
5506	LOC409637	Background	OG0001907
5507	LOC409638	Background	OG0000249
5508	LOC409639	Background	OG0004716
5509	LOC409640	Background	OG0008009
5510	LOC409642	Background	OG0001205
5511	LOC409643	Background	OG0003496
5512	LOC409645	Background	OG0008646
5513	LOC409646	Background	OG0006166
5514	LOC409647	Background	OG0008475
5515	LOC409648	Background	OG0008108
5516	LOC409649	Background	OG0005776
5517	LOC409650	Background	OG0002453
5518	LOC409653	Background	OG0005532
5519	LOC409655	Background	OG0001330
5520	LOC409658	Background	OG0006459
5521	LOC409659	Background	OG0006554
5522	LOC409662	Background	OG0000902
5523	LOC409663	Effector	OG0001310
5524	LOC409664	Background	OG0007198
5525	LOC409665	Background	OG0001701
5526	LOC409666	Background	OG0003095
5527	LOC409667	Signalling	OG0001769
5528	LOC409668	Background	OG0004136
5529	LOC409670	Background	OG0006247
5530	LOC409671	Background	OG0002980
5531	LOC409672	Background	OG0002225
5532	LOC409673	Background	OG0001729
5533	LOC409674	Background	OG0002752
5534	LOC409675	Background	OG0000416
5535	LOC409676	Background	OG0006858
5536	LOC409678	Background	OG0001170
5537	LOC409680	Background	OG0002729
5538	LOC409681	Background	OG0006177
5539	LOC409682	Background	OG0000294
5540	LOC409686	Background	OG0003838
5541	LOC409688	Background	OG0002928
5542	LOC409689	Background	OG0003686
5543	LOC409690	Background	OG0000532
5544	LOC409691	Background	OG0000752
5545	LOC409692	Background	OG0000616
5546	LOC409693	Background	OG0006246
5547	LOC409695	Background	OG0000722
5548	LOC409696	Background	OG0005029
5549	LOC409697	Background	OG0005453
5550	LOC409698	Background	OG0002195
5551	LOC409699	Background	OG0001371
5552	LOC409701	Background	OG0006136
5553	LOC409702	Background	OG0003944
5554	LOC409703	Background	OG0004165
5555	LOC409704	Background	Unassigned
5556	LOC409706	Background	OG0005483
5557	LOC409707	Background	OG0006414
5558	LOC409708	Background	OG0001068
5559	LOC409709	Background	OG0001068
5560	LOC409711	Background	OG0002978
5561	LOC409712	Background	OG0001212
5562	LOC409713	Background	OG0004405
5563	LOC409714	Background	OG0003563
5564	LOC409715	Background	OG0007488
5565	LOC409717	Background	OG0001742
5566	LOC409718	Background	OG0001222
5567	LOC409721	Background	OG0008990
5568	LOC409722	Background	OG0002243
5569	LOC409723	Background	OG0007342
5570	LOC409724	Background	OG0001099
5571	LOC409725	Signalling	OG0007016
5572	LOC409726	Background	OG0004342
5573	LOC409727	Background	OG0004343
5574	LOC409728	Background	OG0001291
5575	LOC409729	Background	OG0005754
5576	LOC409733	Background	OG0001949
5577	LOC409734	Background	OG0000897
5578	LOC409735	Background	OG0004874
5579	LOC409736	Background	OG0005335
5580	LOC409739	Background	OG0003905
5581	LOC409740	Putative Immune	OG0008065
5582	LOC409741	Background	OG0005647
5583	LOC409743	Background	OG0002285
5584	LOC409748	Background	OG0001555
5585	LOC409749	Background	OG0007713
5586	LOC409751	Background	OG0009348
5587	LOC409752	Background	OG0006806
5588	LOC409753	Background	OG0006845
5589	LOC409755	Background	OG0005363
5590	LOC409756	Background	OG0001461
5591	LOC409757	Background	OG0003423
5592	LOC409759	Background	OG0004492
5593	LOC409762	Background	OG0004471
5594	LOC409764	Background	OG0000370
5595	LOC409765	Background	OG0006098
5596	LOC409766	Background	OG0006097
5597	LOC409767	Background	OG0008092
5598	LOC409768	Background	OG0007721
5599	LOC409769	Background	OG0000355
5600	LOC409770	Background	OG0004662
5601	LOC409771	Background	OG0003733
5602	LOC409773	Background	OG0008517
5603	LOC409774	Background	OG0008527
5604	LOC409776	Background	OG0004854
5605	LOC409777	Background	OG0003087
5606	LOC409778	Background	OG0004805
5607	LOC409780	Background	OG0000809
5608	LOC409781	Background	OG0001638
5609	LOC409782	Background	OG0007130
5610	LOC409783	Background	OG0001777
5611	LOC409784	Background	OG0004773
5612	LOC409786	Background	OG0006997
5613	LOC409787	Putative Immune	OG0002816
5614	LOC409788	Background	OG0005651
5615	LOC409789	Background	OG0006496
5616	LOC409790	Background	OG0004756
5617	LOC409791	Signalling	OG0007764
5618	LOC409792	Background	OG0003658
5619	LOC409793	Background	OG0001958
5620	LOC409794	Background	OG0006470
5621	LOC409795	Background	OG0006033
5622	LOC409796	Background	OG0002126
5623	LOC409799	Background	OG0002055
5624	LOC409801	Putative Immune	OG0002123
5625	LOC409802	Background	OG0004593
5626	LOC409804	Background	OG0000347
5627	LOC409805	Background	OG0007386
5628	LOC409806	Background	OG0001424
5629	LOC409807	Background	OG0009653
5630	LOC409809	Background	OG0003075
5631	LOC409810	Background	OG0001712
5632	LOC409814	Background	OG0001925
5633	LOC409816	Background	OG0007319
5634	LOC409818	Background	OG0004969
5635	LOC409819	Background	OG0004778
5636	LOC409820	Background	OG0001792
5637	LOC409821	Background	OG0000233
5638	LOC409822	Background	OG0005344
5639	LOC409825	Background	OG0002327
5640	LOC409826	Background	OG0007225
5641	LOC409827	Background	OG0007224
5642	LOC409829	Background	OG0002973
5643	LOC409831	Background	OG0001403
5644	LOC409832	Background	OG0001061
5645	LOC409833	Background	OG0008346
5646	LOC409835	Background	OG0006159
5647	LOC409836	Background	OG0003807
5648	LOC409838	Background	OG0003666
5649	LOC409839	Background	OG0003665
5650	LOC409841	Background	OG0002404
5651	LOC409842	Background	OG0007533
5652	LOC409843	Background	OG0000681
5653	LOC409845	Background	OG0003963
5654	LOC409846	Background	OG0002477
5655	LOC409847	Background	OG0000306
5656	LOC409849	Background	OG0001161
5657	LOC409851	Background	OG0008413
5658	LOC409852	Putative Immune	OG0007376
5659	LOC409854	Background	OG0005605
5660	LOC409856	Background	OG0005399
5661	LOC409857	Background	OG0001393
5662	LOC409859	Background	OG0000529
5663	LOC409860	Background	OG0006781
5664	LOC409861	Background	OG0007825
5665	LOC409862	Background	Unassigned
5666	LOC409863	Background	OG0006428
5667	LOC409865	Background	Unassigned
5668	LOC409866	Background	OG0000549
5669	LOC409867	Background	OG0004398
5670	LOC409869	Background	Unassigned
5671	LOC409870	Background	OG0006170
5672	LOC409871	Background	OG0003325
5673	LOC409872	Background	OG0003865
5674	LOC409876	Background	OG0001204
5675	LOC409877	Background	OG0001506
5676	LOC409880	Background	OG0003235
5677	LOC409881	Putative Immune	OG0002560
5678	LOC409882	Background	OG0002085
5679	LOC409883	Background	OG0007844
5680	LOC409884	Background	OG0004850
5681	LOC409886	Background	OG0000982
5682	LOC409887	Background	OG0008006
5683	LOC409888	Background	OG0008921
5684	LOC409890	Background	OG0000190
5685	LOC409891	Background	OG0005088
5686	LOC409892	Background	OG0004123
5687	LOC409893	Background	OG0000320
5688	LOC409894	Background	OG0002765
5689	LOC409897	Background	OG0000013
5690	LOC409898	Background	OG0003068
5691	LOC409899	Background	OG0000088
5692	LOC409900	Background	OG0002021
5693	LOC409902	Background	OG0001776
5694	LOC409903	Background	OG0001770
5695	LOC409904	Background	OG0001452
5696	LOC409905	Background	OG0002666
5697	LOC409906	Background	OG0002018
5698	LOC409908	Background	OG0007322
5699	LOC409909	Background	OG0008058
5700	LOC409910	Background	OG0001439
5701	LOC409911	Background	OG0006264
5702	LOC409912	Background	OG0005304
5703	LOC409913	Background	OG0003328
5704	LOC409915	Background	OG0005494
5705	LOC409918	Background	OG0005044
5706	LOC409919	Background	OG0004672
5707	LOC409920	Signalling	OG0001942
5708	LOC409921	Background	OG0002282
5709	LOC409922	Background	OG0006409
5710	LOC409923	Background	OG0001816
5711	LOC409924	Putative Immune	OG0001144
5712	LOC409925	Signalling	OG0006187
5713	LOC409926	Background	OG0008396
5714	LOC409927	Background	OG0002755
5715	LOC409928	Background	OG0003803
5716	LOC409930	Background	OG0007356
5717	LOC409931	Background	OG0003161
5718	LOC409932	Background	OG0004039
5719	LOC409933	Background	OG0005167
5720	LOC409934	Background	OG0002255
5721	LOC409936	Background	OG0003653
5722	LOC409937	Background	OG0003654
5723	LOC409941	Signalling	OG0002036
5724	LOC409942	Background	OG0005598
5725	LOC409945	Background	OG0004995
5726	LOC409946	Signalling	OG0006203
5727	LOC409949	Background	OG0006421
5728	LOC409950	Background	OG0005471
5729	LOC409951	Background	OG0002836
5730	LOC409952	Background	OG0001219
5731	LOC409953	Background	OG0004239
5732	LOC409954	Background	OG0005018
5733	LOC409955	Background	OG0000213
5734	LOC409956	Background	OG0007819
5735	LOC409957	Background	OG0006003
5736	LOC409959	Background	OG0005055
5737	LOC409961	Background	OG0003559
5738	LOC409962	Putative Immune	OG0006763
5739	LOC409963	Background	OG0008953
5740	LOC409965	Background	Unassigned
5741	LOC409966	Background	OG0002066
5742	LOC409968	Background	OG0006871
5743	LOC409969	Background	OG0006808
5744	LOC409970	Background	OG0009074
5745	LOC409972	Background	OG0008709
5746	LOC409976	Background	OG0002806
5747	LOC409977	Background	OG0001970
5748	LOC409978	Background	OG0006169
5749	LOC409979	Background	OG0004754
5750	LOC409981	Background	OG0000305
5751	LOC409983	Background	OG0006432
5752	LOC409984	Background	OG0002493
5753	LOC409985	Background	OG0002174
5754	LOC409986	Background	OG0004697
5755	LOC409990	Background	OG0002226
5756	LOC409991	Background	OG0004663
5757	LOC409992	Background	OG0004659
5758	LOC409993	Background	OG0004660
5759	LOC409994	Background	OG0007772
5760	LOC409995	Background	OG0004567
5761	LOC409999	Background	OG0009319
5762	LOC410000	Background	OG0006058
5763	LOC410001	Background	OG0002318
5764	LOC410003	Background	OG0004225
5765	LOC410004	Background	OG0002874
5766	LOC410005	Background	OG0006344
5767	LOC410006	Background	OG0000412
5768	LOC410007	Background	OG0003749
5769	LOC410009	Background	OG0005590
5770	LOC410012	Background	OG0003187
5771	LOC410013	Background	OG0008647
5772	LOC410015	Background	OG0003907
5773	LOC410017	Background	OG0005291
5774	LOC410018	Background	OG0005292
5775	LOC410019	Background	OG0002861
5776	LOC410021	Background	OG0002740
5777	LOC410022	Background	OG0005608
5778	LOC410023	Background	OG0002069
5779	LOC410026	Background	OG0008231
5780	LOC410027	Background	OG0001722
5781	LOC410030	Background	OG0005011
5782	LOC410031	Signalling	OG0003875
5783	LOC410033	Background	OG0006894
5784	LOC410034	Background	OG0009125
5785	LOC410035	Background	OG0005636
5786	LOC410037	Background	OG0004708
5787	LOC410038	Background	OG0005212
5788	LOC410039	Background	OG0001857
5789	LOC410040	Background	Unassigned
5790	LOC410041	Background	OG0000753
5791	LOC410042	Background	OG0007007
5792	LOC410043	Background	OG0003032
5793	LOC410044	Background	OG0003594
5794	LOC410045	Background	OG0003495
5795	LOC410050	Background	OG0001299
5796	LOC410054	Background	OG0002523
5797	LOC410055	Background	OG0006199
5798	LOC410056	Background	OG0002098
5799	LOC410057	Background	OG0007035
5800	LOC410058	Background	OG0005056
5801	LOC410059	Background	OG0000561
5802	LOC410060	Background	OG0005851
5803	LOC410061	Background	OG0004336
5804	LOC410062	Background	OG0008723
5805	LOC410063	Putative Immune	OG0007391
5806	LOC410067	Background	OG0008648
5807	LOC410070	Background	OG0001093
5808	LOC410071	Background	OG0006052
5809	LOC410072	Background	OG0004155
5810	LOC410073	Background	OG0007174
5811	LOC410076	Background	OG0008433
5812	LOC410078	Background	OG0005336
5813	LOC410079	Background	OG0005530
5814	LOC410080	Background	OG0001224
5815	LOC410083	Background	Unassigned
5816	LOC410084	Background	OG0006384
5817	LOC410085	Background	OG0000697
5818	LOC410087	Putative Immune	OG0000067
5819	LOC410091	Background	OG0005433
5820	LOC410092	Background	OG0002352
5821	LOC410093	Background	OG0000555
5822	LOC410094	Background	OG0001033
5823	LOC410095	Background	OG0008587
5824	LOC410096	Background	OG0000696
5825	LOC410097	Background	OG0005669
5826	LOC410098	Background	OG0005689
5827	LOC410099	Background	Unassigned
5828	LOC410100	Background	OG0004974
5829	LOC410101	Background	OG0004469
5830	LOC410102	Background	OG0005148
5831	LOC410103	Background	OG0003581
5832	LOC410105	Background	OG0008321
5833	LOC410106	Background	OG0005674
5834	LOC410107	Background	OG0003026
5835	LOC410108	Background	OG0003730
5836	LOC410109	Background	OG0003100
5837	LOC410114	Background	OG0006887
5838	LOC410115	Background	OG0008394
5839	LOC410116	Background	OG0006770
5840	LOC410117	Background	OG0001626
5841	LOC410118	Background	OG0004723
5842	LOC410119	Background	OG0003964
5843	LOC410120	Background	OG0007871
5844	LOC410121	Background	OG0006376
5845	LOC410122	Background	OG0005768
5846	LOC410127	Background	OG0005384
5847	LOC410128	Background	OG0000518
5848	LOC410129	Background	OG0000316
5849	LOC410130	Background	OG0003345
5850	LOC410132	Background	OG0006059
5851	LOC410133	Background	OG0008179
5852	LOC410134	Background	Unassigned
5853	LOC410136	Background	OG0005279
5854	LOC410140	Background	OG0001912
5855	LOC410142	Background	OG0003051
5856	LOC410144	Background	OG0002554
5857	LOC410148	Background	OG0002214
5858	LOC410149	Putative Immune	OG0002214
5859	LOC410151	Background	OG0006270
5860	LOC410154	Background	OG0001508
5861	LOC410155	Background	OG0001208
5862	LOC410157	Background	OG0002049
5863	LOC410158	Background	OG0004070
5864	LOC410159	Background	OG0000906
5865	LOC410161	Background	OG0007723
5866	LOC410162	Background	OG0003915
5867	LOC410165	Background	Unassigned
5868	LOC410166	Background	OG0007153
5869	LOC410167	Background	OG0007158
5870	LOC410169	Background	OG0007139
5871	LOC410170	Background	OG0004016
5872	LOC410171	Background	OG0002257
5873	LOC410172	Background	OG0002261
5874	LOC410174	Background	OG0005866
5875	LOC410175	Background	OG0006936
5876	LOC410177	Background	OG0000735
5877	LOC410178	Background	OG0005040
5878	LOC410179	Background	OG0000636
5879	LOC410183	Signalling	OG0005015
5880	LOC410184	Background	OG0005014
5881	LOC410187	Background	OG0009297
5882	LOC410188	Background	OG0008190
5883	LOC410189	Background	OG0002538
5884	LOC410190	Background	OG0006122
5885	LOC410191	Background	OG0005118
5886	LOC410194	Background	OG0001695
5887	LOC410195	Background	OG0002258
5888	LOC410198	Background	Unassigned
5889	LOC410200	Background	OG0008649
5890	LOC410201	Background	OG0005195
5891	LOC410202	Background	OG0007633
5892	LOC410204	Putative Immune	OG0001250
5893	LOC410205	Background	OG0005171
5894	LOC410206	Background	OG0000459
5895	LOC410207	Background	OG0005383
5896	LOC410208	Background	OG0003975
5897	LOC410211	Background	OG0002168
5898	LOC410216	Background	OG0004147
5899	LOC410217	Background	OG0004364
5900	LOC410218	Background	OG0004142
5901	LOC410219	Background	OG0000447
5902	LOC410222	Background	OG0004128
5903	LOC410223	Background	OG0005006
5904	LOC410225	Background	OG0005785
5905	LOC410226	Background	OG0005786
5906	LOC410227	Putative Immune	OG0001768
5907	LOC410228	Background	OG0005787
5908	LOC410229	Recognition	OG0004246
5909	LOC410231	Recognition	OG0004242
5910	LOC410233	Background	OG0004230
5911	LOC410234	Background	Unassigned
5912	LOC410235	Recognition	OG0004307
5913	LOC410236	Background	OG0004300
5914	LOC410237	Background	OG0004296
5915	LOC410238	Background	OG0004597
5916	LOC410239	Background	OG0004596
5917	LOC410241	Background	OG0001934
5918	LOC410244	Background	OG0004602
5919	LOC410245	Background	OG0004603
5920	LOC410246	Background	OG0004607
5921	LOC410253	Background	OG0005616
5922	LOC410254	Background	OG0000584
5923	LOC410255	Background	OG0004935
5924	LOC410256	Background	OG0001004
5925	LOC410257	Signalling	OG0005614
5926	LOC410258	Background	OG0008069
5927	LOC410259	Background	OG0004265
5928	LOC410261	Background	OG0006550
5929	LOC410262	Background	OG0006448
5930	LOC410263	Background	OG0000298
5931	LOC410264	Background	OG0008922
5932	LOC410266	Background	OG0008120
5933	LOC410269	Background	OG0000013
5934	LOC410270	Background	OG0001003
5935	LOC410271	Background	OG0006993
5936	LOC410272	Background	OG0002804
5937	LOC410273	Background	OG0001114
5938	LOC410274	Background	OG0000477
5939	LOC410278	Putative Immune	OG0006940
5940	LOC410280	Background	OG0002291
5941	LOC410282	Background	OG0005275
5942	LOC410283	Background	OG0007971
5943	LOC410286	Background	OG0005098
5944	LOC410288	Background	OG0001019
5945	LOC410289	Background	OG0007009
5946	LOC410290	Background	OG0006429
5947	LOC410291	Background	OG0000325
5948	LOC410293	Background	OG0001602
5949	LOC410294	Background	OG0006179
5950	LOC410295	Background	OG0005331
5951	LOC410296	Background	OG0005332
5952	LOC410297	Background	OG0005333
5953	LOC410298	Background	OG0002929
5954	LOC410299	Background	OG0000407
5955	LOC410301	Background	OG0004784
5956	LOC410304	Background	OG0007101
5957	LOC410305	Background	OG0007367
5958	LOC410306	Background	OG0003436
5959	LOC410307	Background	OG0001366
5960	LOC410308	Background	OG0002478
5961	LOC410315	Background	OG0006256
5962	LOC410316	Background	OG0004894
5963	LOC410317	Background	OG0002183
5964	LOC410318	Background	OG0007852
5965	LOC410319	Background	OG0004886
5966	LOC410320	Background	OG0004888
5967	LOC410322	Background	OG0004889
5968	LOC410323	Background	OG0000270
5969	LOC410324	Background	OG0002182
5970	LOC410325	Background	OG0004879
5971	LOC410326	Background	OG0004880
5972	LOC410328	Background	OG0007849
5973	LOC410330	Background	OG0007848
5974	LOC410331	Background	OG0000477
5975	LOC410332	Background	OG0003007
5976	LOC410334	Background	OG0003024
5977	LOC410336	Background	OG0003030
5978	LOC410337	Putative Immune	OG0001152
5979	LOC410338	Background	OG0003052
5980	LOC410339	Background	OG0003048
5981	LOC410340	Background	OG0005105
5982	LOC410341	Background	OG0005104
5983	LOC410343	Background	OG0004626
5984	LOC410344	Background	OG0004706
5985	LOC410345	Background	OG0004653
5986	LOC410347	Background	OG0004655
5987	LOC410348	Background	OG0001328
5988	LOC410349	Background	OG0004656
5989	LOC410350	Background	OG0007781
5990	LOC410351	Background	OG0001226
5991	LOC410352	Background	OG0008533
5992	LOC410353	Background	OG0005024
5993	LOC410354	Background	OG0004029
5994	LOC410355	Background	OG0004107
5995	LOC410357	Background	OG0007163
5996	LOC410361	Background	OG0001111
5997	LOC410362	Background	OG0002775
5998	LOC410363	Background	OG0006837
5999	LOC410365	Background	OG0000804
6000	LOC410368	Background	OG0005965
6001	LOC410369	Background	OG0005971
6002	LOC410370	Background	OG0005706
6003	LOC410371	Background	OG0006842
6004	LOC410373	Background	OG0006839
6005	LOC410375	Background	OG0003927
6006	LOC410376	Background	OG0007596
6007	LOC410379	Background	OG0005944
6008	LOC410380	Background	OG0002505
6009	LOC410381	Background	OG0004568
6010	LOC410383	Background	OG0002440
6011	LOC410385	Background	OG0002480
6012	LOC410386	Background	OG0002490
6013	LOC410387	Background	OG0005301
6014	LOC410388	Background	OG0004096
6015	LOC410390	Background	OG0004251
6016	LOC410393	Background	OG0002780
6017	LOC410394	Background	OG0000922
6018	LOC410395	Background	OG0002489
6019	LOC410396	Background	OG0002488
6020	LOC410398	Background	OG0001488
6021	LOC410399	Background	OG0002781
6022	LOC410402	Background	OG0007230
6023	LOC410403	Background	OG0003955
6024	LOC410405	Putative Immune	OG0003567
6025	LOC410406	Background	OG0001865
6026	LOC410408	Background	OG0000674
6027	LOC410410	Background	OG0006727
6028	LOC410413	Background	OG0003953
6029	LOC410414	Background	OG0001957
6030	LOC410415	Signalling	OG0002471
6031	LOC410416	Background	OG0000638
6032	LOC410417	Background	OG0000064
6033	LOC410420	Background	OG0002315
6034	LOC410422	Background	OG0003564
6035	LOC410423	Background	OG0004275
6036	LOC410424	Background	OG0002479
6037	LOC410427	Background	OG0002876
6038	LOC410428	Background	OG0007213
6039	LOC410429	Background	OG0008534
6040	LOC410432	Putative Immune	OG0002921
6041	LOC410434	Background	OG0006240
6042	LOC410438	Background	OG0001863
6043	LOC410439	Background	OG0003619
6044	LOC410441	Background	OG0001850
6045	LOC410442	Background	OG0007486
6046	LOC410446	Background	OG0006726
6047	LOC410447	Background	OG0003551
6048	LOC410448	Background	OG0007483
6049	LOC410449	Background	OG0003550
6050	LOC410451	Background	OG0003547
6051	LOC410452	Putative Immune	OG0003545
6052	LOC410454	Background	OG0000088
6053	LOC410456	Background	OG0003543
6054	LOC410459	Background	OG0003539
6055	LOC410462	Background	OG0001844
6056	LOC410463	Background	OG0002556
6057	LOC410464	Background	OG0005156
6058	LOC410465	Background	OG0005122
6059	LOC410467	Background	OG0005125
6060	LOC410468	Putative Immune	OG0005127
6061	LOC410469	Background	OG0001387
6062	LOC410470	Background	OG0003942
6063	LOC410475	Background	OG0007302
6064	LOC410479	Background	OG0006831
6065	LOC410480	Background	OG0004973
6066	LOC410482	Background	OG0004868
6067	LOC410483	Background	OG0004863
6068	LOC410484	Putative Immune	OG0004862
6069	LOC410485	Background	OG0006408
6070	LOC410486	Background	OG0006026
6071	LOC410487	Background	OG0001918
6072	LOC410489	Background	OG0005629
6073	LOC410492	Background	OG0000009
6074	LOC410493	Background	OG0000125
6075	LOC410494	Background	OG0005140
6076	LOC410495	Background	OG0005712
6077	LOC410497	Background	OG0005717
6078	LOC410498	Background	OG0005716
6079	LOC410499	Background	OG0008577
6080	LOC410501	Background	OG0005520
6081	LOC410502	Background	OG0002383
6082	LOC410505	Background	OG0002483
6083	LOC410506	Background	OG0005862
6084	LOC410507	Background	OG0002484
6085	LOC410509	Background	OG0000318
6086	LOC410510	Signalling	OG0004507
6087	LOC410511	Background	OG0000371
6088	LOC410512	Background	OG0004506
6089	LOC410514	Background	Unassigned
6090	LOC410515	Effector	OG0001361
6091	LOC410516	Background	OG0006818
6092	LOC410517	Background	OG0001373
6093	LOC410518	Background	OG0002206
6094	LOC410520	Background	OG0007039
6095	LOC410521	Background	OG0007038
6096	LOC410525	Background	OG0008650
6097	LOC410526	Background	OG0005517
6098	LOC410527	Background	OG0002385
6099	LOC410530	Background	OG0005691
6100	LOC410532	Background	OG0002437
6101	LOC410533	Background	OG0005696
6102	LOC410534	Background	OG0002438
6103	LOC410535	Background	OG0005697
6104	LOC410537	Background	OG0005698
6105	LOC410538	Background	Unassigned
6106	LOC410539	Background	OG0005701
6107	LOC410541	Background	OG0004994
6108	LOC410542	Background	OG0004820
6109	LOC410545	Background	OG0002835
6110	LOC410546	Background	OG0008482
6111	LOC410547	Background	OG0007055
6112	LOC410549	Background	OG0001103
6113	LOC410550	Background	OG0002839
6114	LOC410553	Background	OG0000629
6115	LOC410554	Background	OG0007060
6116	LOC410555	Recognition	OG0000814
6117	LOC410556	Background	OG0007067
6118	LOC410557	Background	OG0005857
6119	LOC410558	Background	OG0001025
6120	LOC410559	Signalling	OG0000042
6121	LOC410561	Background	OG0008132
6122	LOC410562	Background	OG0005755
6123	LOC410563	Background	OG0001468
6124	LOC410565	Background	OG0007022
6125	LOC410566	Background	OG0007105
6126	LOC410567	Background	OG0004599
6127	LOC410570	Background	OG0004612
6128	LOC410571	Background	OG0004631
6129	LOC410573	Background	OG0003522
6130	LOC410575	Signalling	OG0000496
6131	LOC410577	Background	OG0001257
6132	LOC410578	Background	OG0004073
6133	LOC410580	Putative Immune	OG0008159
6134	LOC410581	Background	OG0005915
6135	LOC410582	Background	OG0000220
6136	LOC410583	Putative Immune	OG0000220
6137	LOC410585	Background	OG0001522
6138	LOC410589	Background	OG0006695
6139	LOC410591	Background	OG0002459
6140	LOC410595	Background	OG0006129
6141	LOC410597	Background	OG0006153
6142	LOC410600	Background	OG0006361
6143	LOC410601	Background	OG0006368
6144	LOC410602	Background	OG0008273
6145	LOC410603	Background	OG0000046
6146	LOC410604	Background	OG0005998
6147	LOC410606	Background	OG0006740
6148	LOC410607	Background	OG0005913
6149	LOC410609	Background	OG0000616
6150	LOC410610	Background	OG0006572
6151	LOC410612	Background	OG0006156
6152	LOC410613	Background	OG0003077
6153	LOC410614	Signalling	OG0000020
6154	LOC410616	Background	OG0003787
6155	LOC410617	Background	OG0000845
6156	LOC410618	Background	OG0006749
6157	LOC410620	Background	OG0000068
6158	LOC410621	Background	OG0000493
6159	LOC410622	Background	OG0006742
6160	LOC410623	Background	OG0006793
6161	LOC410624	Background	OG0006743
6162	LOC410626	Putative Immune	OG0003611
6163	LOC410627	Putative Immune	OG0000875
6164	LOC410630	Background	OG0000385
6165	LOC410632	Background	OG0001042
6166	LOC410633	Background	OG0000328
6167	LOC410635	Background	OG0006706
6168	LOC410636	Background	OG0008237
6169	LOC410637	Background	OG0005326
6170	LOC410638	Background	OG0002392
6171	LOC410639	Background	OG0000996
6172	LOC410642	Background	OG0001736
6173	LOC410643	Background	OG0001166
6174	LOC410648	Background	OG0001167
6175	LOC410649	Background	OG0003194
6176	LOC410654	Background	OG0008719
6177	LOC410655	Background	OG0000230
6178	LOC410657	Background	OG0005322
6179	LOC410658	Background	OG0005556
6180	LOC410659	Background	OG0009091
6181	LOC410662	Background	OG0006784
6182	LOC410663	Background	OG0001956
6183	LOC410664	Background	OG0005839
6184	LOC410665	Background	OG0005825
6185	LOC410669	Background	OG0005264
6186	LOC410671	Background	OG0005266
6187	LOC410672	Background	OG0001401
6188	LOC410673	Background	OG0005278
6189	LOC410674	Putative Immune	OG0005267
6190	LOC410675	Background	OG0002356
6191	LOC410676	Background	OG0001400
6192	LOC410678	Background	OG0007516
6193	LOC410683	Putative Immune	OG0000530
6194	LOC410684	Background	OG0003720
6195	LOC410685	Background	OG0001869
6196	LOC410686	Background	OG0003644
6197	LOC410687	Background	OG0005577
6198	LOC410688	Background	OG0003716
6199	LOC410689	Background	OG0003690
6200	LOC410690	Background	OG0003692
6201	LOC410694	Background	OG0006443
6202	LOC410696	Background	OG0008403
6203	LOC410702	Background	OG0008077
6204	LOC410705	Background	OG0005634
6205	LOC410706	Background	OG0000945
6206	LOC410710	Background	OG0002741
6207	LOC410717	Background	OG0003679
6208	LOC410718	Background	OG0003956
6209	LOC410719	Signalling	Unassigned
6210	LOC410723	Background	OG0003223
6211	LOC410724	Background	OG0003576
6212	LOC410725	Background	OG0003624
6213	LOC410726	Background	OG0007756
6214	LOC410727	Background	OG0004337
6215	LOC410728	Background	OG0006795
6216	LOC410729	Background	OG0002153
6217	LOC410730	Background	OG0004796
6218	LOC410732	Background	OG0001290
6219	LOC410733	Background	OG0000090
6220	LOC410734	Background	OG0000090
6221	LOC410736	Background	OG0002614
6222	LOC410739	Background	OG0006321
6223	LOC410740	Background	OG0002618
6224	LOC410741	Background	OG0003172
