NM_001280889.2	Bombus terrestris acyl-CoA delta-9 desaturase (npve), mRNA
XM_020865329.2	PREDICTED: Bombus terrestris protein quiver (LOC100650755), transcript variant X3, mRNA
XM_020865331.2	PREDICTED: Bombus terrestris uncharacterized protein CG5098 (LOC100646551), transcript variant X6, mRNA
XM_020865334.2	PREDICTED: Bombus terrestris dynein axonemal heavy chain 12 (LOC100646387), mRNA
XM_020865337.2	PREDICTED: Bombus terrestris solute carrier family 2, facilitated glucose transporter member 10 (LOC100649888), transcript variant X2, mRNA
XM_020865341.2	PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754), transcript variant X12, mRNA
XM_020865344.2	PREDICTED: Bombus terrestris axin (LOC100642412), transcript variant X5, mRNA
XM_020865345.2	PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754), transcript variant X14, mRNA
XM_020865346.2	PREDICTED: Bombus terrestris axin (LOC100642412), transcript variant X7, mRNA
XM_020865348.2	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase HECW2 (LOC100642855), transcript variant X2, mRNA
XM_020865350.2	PREDICTED: Bombus terrestris WD repeat-containing protein 7 (LOC100650754), transcript variant X17, mRNA
XM_020865357.2	PREDICTED: Bombus terrestris poly(A) RNA polymerase gld-2 homolog A (LOC100644027), transcript variant X3, mRNA
XM_020865358.2	PREDICTED: Bombus terrestris syntaxin-18 (LOC100643820), transcript variant X2, mRNA
XM_020865359.2	PREDICTED: Bombus terrestris hrp65 protein (LOC100650872), transcript variant X4, mRNA
XM_020865370.2	PREDICTED: Bombus terrestris gonadotropin-releasing hormone receptor (LOC100645456), transcript variant X4, mRNA
XM_020865374.2	PREDICTED: Bombus terrestris isocitrate dehydrogenase [NADP] cytoplasmic (LOC100651170), transcript variant X1, mRNA
XM_020865375.2	PREDICTED: Bombus terrestris ubiquitin-conjugating enzyme E2 L3 (LOC100651456), transcript variant X2, mRNA
XM_020865379.2	PREDICTED: Bombus terrestris methyltransferase-like 26 (LOC105666912), transcript variant X1, mRNA
XM_020865381.2	PREDICTED: Bombus terrestris histone-arginine methyltransferase CARMER (LOC100648367), transcript variant X3, mRNA
XM_020865383.2	PREDICTED: Bombus terrestris annexin B11 (LOC100648568), transcript variant X4, mRNA
XM_020865389.2	PREDICTED: Bombus terrestris protein pellino (LOC100648060), transcript variant X2, mRNA
XM_020865390.2	PREDICTED: Bombus terrestris putative RNA-binding protein Luc7-like 2 (LOC100648220), transcript variant X9, mRNA
XM_020865391.2	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 3 subunit D (LOC100650371), transcript variant X2, mRNA
XM_020865393.2	PREDICTED: Bombus terrestris probable chitinase 10 (LOC100651214), transcript variant X1, mRNA
XM_020865395.2	PREDICTED: Bombus terrestris 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (LOC100651694), transcript variant X4, mRNA
XM_020865396.2	PREDICTED: Bombus terrestris 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (LOC100651694), transcript variant X1, mRNA
XM_020865397.2	PREDICTED: Bombus terrestris 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1 (LOC100651694), transcript variant X6, mRNA
XM_020865401.2	PREDICTED: Bombus terrestris protein arginine N-methyltransferase 9 (LOC100651844), transcript variant X2, mRNA
XM_020865403.2	PREDICTED: Bombus terrestris RYamide receptor (LOC100646069), transcript variant X1, mRNA
XM_020865404.2	PREDICTED: Bombus terrestris RYamide receptor (LOC100646069), transcript variant X3, mRNA
XM_020865405.2	PREDICTED: Bombus terrestris inositol 1,4,5-triphosphate receptor associated 2 (LOC100646612), transcript variant X1, mRNA
XM_020865406.2	PREDICTED: Bombus terrestris neural/ectodermal development factor IMP-L2 (LOC100645498), transcript variant X1, mRNA
XM_020865408.2	PREDICTED: Bombus terrestris protein spaetzle-like (LOC100647390), transcript variant X2, mRNA
XM_020865411.2	PREDICTED: Bombus terrestris protein spaetzle-like (LOC100647390), transcript variant X3, mRNA
XM_020865412.2	PREDICTED: Bombus terrestris transcription initiation factor TFIID subunit 13 (LOC105666213), transcript variant X1, mRNA
XM_020865413.2	PREDICTED: Bombus terrestris hemicentin-1 (LOC100648107), transcript variant X4, mRNA
XM_020865414.2	PREDICTED: Bombus terrestris TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (LOC100651669), transcript variant X3, mRNA
XM_020865415.2	PREDICTED: Bombus terrestris TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L (LOC100651669), transcript variant X4, mRNA
XM_020865416.2	PREDICTED: Bombus terrestris eukaryotic translation initiation factor 3 subunit F (LOC100647191), mRNA
XM_020865417.2	PREDICTED: Bombus terrestris serine protease snake (LOC100646730), transcript variant X2, mRNA
XM_020865418.2	PREDICTED: Bombus terrestris trifunctional enzyme subunit alpha, mitochondrial (LOC100642892), transcript variant X2, mRNA
XM_020865420.2	PREDICTED: Bombus terrestris metabotropic glutamate receptor (LOC100650736), transcript variant X3, mRNA
XM_020865422.2	PREDICTED: Bombus terrestris metabotropic glutamate receptor (LOC100650736), transcript variant X9, mRNA
XM_020865427.2	PREDICTED: Bombus terrestris uncharacterized LOC100642497 (LOC100642497), transcript variant X3, mRNA
XM_020865429.2	PREDICTED: Bombus terrestris nuclear hormone receptor E75 (LOC100644185), transcript variant X5, mRNA
XM_020865430.2	PREDICTED: Bombus terrestris nuclear hormone receptor E75 (LOC100644185), transcript variant X2, mRNA
XM_020865434.2	PREDICTED: Bombus terrestris uncharacterized LOC100646120 (LOC100646120), mRNA
XM_020865435.2	PREDICTED: Bombus terrestris chitin synthase chs-2 (LOC100651910), mRNA
XM_020865437.2	PREDICTED: Bombus terrestris villin-like protein quail (LOC100644731), transcript variant X2, mRNA
XM_020865443.2	PREDICTED: Bombus terrestris heparan sulfate glucosamine 3-O-sulfotransferase 6 (LOC100642292), transcript variant X2, mRNA
XM_020865445.2	PREDICTED: Bombus terrestris RNA-binding protein cabeza (LOC100645958), transcript variant X2, mRNA
XM_020865447.2	PREDICTED: Bombus terrestris protein masquerade (LOC100648106), transcript variant X1, mRNA
XM_020865450.2	PREDICTED: Bombus terrestris mediator of RNA polymerase II transcription subunit 19 (LOC100645845), transcript variant X1, mRNA
XM_020865451.2	PREDICTED: Bombus terrestris autism susceptibility gene 2 protein (LOC100647546), transcript variant X1, mRNA
XM_020865452.2	PREDICTED: Bombus terrestris autism susceptibility gene 2 protein (LOC100647546), transcript variant X2, mRNA
XM_020865453.2	PREDICTED: Bombus terrestris allergen Cr-PI-like (LOC100646552), transcript variant X2, mRNA
XM_020865455.2	PREDICTED: Bombus terrestris homeobox protein aristaless-like 4 (LOC100647782), transcript variant X2, mRNA
XM_020865456.2	PREDICTED: Bombus terrestris homeobox protein aristaless-like 4 (LOC100647782), transcript variant X4, mRNA
XM_020865457.2	PREDICTED: Bombus terrestris 3-hydroxyacyl-CoA dehydrogenase type-2 (LOC100652169), mRNA
XM_020865458.2	PREDICTED: Bombus terrestris forkhead box protein J1-A (LOC100651964), transcript variant X12, mRNA
XM_020865459.2	PREDICTED: Bombus terrestris LIM/homeobox protein Lhx9 (LOC100646476), mRNA
XM_020865462.2	PREDICTED: Bombus terrestris uncharacterized LOC100648646 (LOC100648646), transcript variant X1, mRNA
XM_020865464.2	PREDICTED: Bombus terrestris integral membrane protein GPR155 (LOC100648872), transcript variant X2, mRNA
XM_020865466.2	PREDICTED: Bombus terrestris electron transfer flavoprotein beta subunit lysine methyltransferase (LOC100649104), transcript variant X2, mRNA
XM_020865467.2	PREDICTED: Bombus terrestris electron transfer flavoprotein beta subunit lysine methyltransferase (LOC100649104), transcript variant X3, mRNA
XM_020865470.2	PREDICTED: Bombus terrestris protein-L-isoaspartate O-methyltransferase domain-containing protein 1 (LOC100648526), transcript variant X3, mRNA
XM_020865471.2	PREDICTED: Bombus terrestris protein-L-isoaspartate O-methyltransferase domain-containing protein 1 (LOC100648526), transcript variant X4, mRNA
XM_020865473.2	PREDICTED: Bombus terrestris dynein axonemal heavy chain 3 (LOC100643212), transcript variant X6, mRNA
XM_020865474.2	PREDICTED: Bombus terrestris WD repeat domain phosphoinositide-interacting protein 2 (LOC100642580), transcript variant X3, mRNA
XM_020865477.2	PREDICTED: Bombus terrestris monocyte to macrophage differentiation factor 2 (LOC100642858), transcript variant X2, mRNA
XM_020865487.2	PREDICTED: Bombus terrestris protein Mo25 (LOC100647327), transcript variant X3, mRNA
XM_020865494.2	PREDICTED: Bombus terrestris chitin deacetylase 1 (LOC100652047), transcript variant X2, mRNA
XM_020865496.2	PREDICTED: Bombus terrestris alpha-tocopherol transfer protein (LOC100651134), transcript variant X2, mRNA
XM_020865499.2	PREDICTED: Bombus terrestris small conductance calcium-activated potassium channel protein (LOC100646717), transcript variant X8, mRNA
XM_020865500.2	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase SMURF2 (LOC100649221), transcript variant X5, mRNA
XM_020865504.2	PREDICTED: Bombus terrestris PHD finger protein rhinoceros (LOC100652151), transcript variant X1, mRNA
XM_020865508.2	PREDICTED: Bombus terrestris protein kinase C, brain isozyme (LOC100643492), transcript variant X3, mRNA
XM_020865509.2	PREDICTED: Bombus terrestris putative inorganic phosphate cotransporter (LOC100644143), transcript variant X6, mRNA
XM_020865511.2	PREDICTED: Bombus terrestris uncharacterized LOC110119691 (LOC110119691), mRNA
XM_020865513.2	PREDICTED: Bombus terrestris transcription elongation factor SPT6 (LOC100651455), transcript variant X2, mRNA
XM_020865520.2	PREDICTED: Bombus terrestris putative phosphoenolpyruvate synthase (LOC100648603), mRNA
XM_020865524.2	PREDICTED: Bombus terrestris voltage-dependent calcium channel subunit alpha-2/delta-3 (LOC100647110), transcript variant X3, mRNA
XM_020865533.2	PREDICTED: Bombus terrestris odorant receptor 9a (LOC100644217), mRNA
XM_020865534.2	PREDICTED: Bombus terrestris cdc42 homolog (LOC100646168), transcript variant X3, mRNA
XM_020865537.2	PREDICTED: Bombus terrestris chondroitin sulfate synthase 2 (LOC100644183), transcript variant X1, mRNA
XM_020865538.2	PREDICTED: Bombus terrestris alanine--glyoxylate aminotransferase 2, mitochondrial (LOC100645336), transcript variant X2, mRNA
XM_020865539.2	PREDICTED: Bombus terrestris cdc42 homolog (LOC100646168), transcript variant X4, mRNA
XM_020865543.2	PREDICTED: Bombus terrestris cdc42 homolog (LOC100646168), transcript variant X5, mRNA
XM_020865544.2	PREDICTED: Bombus terrestris ceramide glucosyltransferase (LOC100647986), transcript variant X2, mRNA
XM_020865545.2	PREDICTED: Bombus terrestris nuclear factor of activated T-cells 5 (LOC100642970), transcript variant X3, mRNA
XM_020865547.2	PREDICTED: Bombus terrestris stress response protein NST1 (LOC100652201), transcript variant X1, mRNA
XM_020865549.2	PREDICTED: Bombus terrestris endoribonuclease LACTB2 (LOC100642856), transcript variant X1, mRNA
XM_020865550.2	PREDICTED: Bombus terrestris endoribonuclease LACTB2 (LOC100642856), transcript variant X2, mRNA
XM_020865551.2	PREDICTED: Bombus terrestris uncharacterized LOC100650123 (LOC100650123), transcript variant X2, mRNA
XM_020865552.2	PREDICTED: Bombus terrestris uncharacterized LOC100650123 (LOC100650123), transcript variant X3, mRNA
XM_020865555.2	PREDICTED: Bombus terrestris uncharacterized LOC110119170 (LOC110119170), mRNA
XM_020865556.2	PREDICTED: Bombus terrestris junctophilin-1 (LOC100647906), mRNA
XM_020865557.2	PREDICTED: Bombus terrestris negative elongation factor D (LOC100651610), transcript variant X1, mRNA
XM_020865559.2	PREDICTED: Bombus terrestris fibroin heavy chain (LOC100648951), transcript variant X1, mRNA
XM_020865561.2	PREDICTED: Bombus terrestris zinc finger protein 271 (LOC100650734), transcript variant X3, mRNA
XM_020865565.2	PREDICTED: Bombus terrestris uncharacterized LOC105666229 (LOC105666229), mRNA
XM_020865566.2	PREDICTED: Bombus terrestris mediator of RNA polymerase II transcription subunit 8 (LOC100643978), transcript variant X1, mRNA
XM_020865571.2	PREDICTED: Bombus terrestris rho GTPase-activating protein 21 (LOC100645999), transcript variant X13, mRNA
XM_020865572.2	PREDICTED: Bombus terrestris rho GTPase-activating protein 21 (LOC100645999), transcript variant X12, mRNA
XM_020865574.2	PREDICTED: Bombus terrestris malonyl-CoA decarboxylase, mitochondrial (LOC100646837), transcript variant X3, mRNA
XM_020865576.2	PREDICTED: Bombus terrestris regulator of gene activity (LOC100646718), transcript variant X4, mRNA
XM_020865577.2	PREDICTED: Bombus terrestris E3 ubiquitin-protein ligase hyd (LOC100646190), transcript variant X1, mRNA
XM_020865578.2	PREDICTED: Bombus terrestris protein bunched, class 2/F/G isoform (LOC100646308), transcript variant X2, mRNA
XM_020865579.2	PREDICTED: Bombus terrestris odorant receptor 9a (LOC100645417), transcript variant X4, mRNA
XM_020865593.2	PREDICTED: Bombus terrestris rab3 GTPase-activating protein non-catalytic subunit (LOC100651150), transcript variant X2, mRNA
XM_020865596.2	PREDICTED: Bombus terrestris pancreatic triacylglycerol lipase (LOC100645259), transcript variant X3, mRNA
XM_020865597.2	PREDICTED: Bombus terrestris uncharacterized LOC100645135 (LOC100645135), mRNA
XM_020865604.2	PREDICTED: Bombus terrestris uncharacterized LOC100648333 (LOC100648333), transcript variant X2, mRNA
XM_020865606.2	PREDICTED: Bombus terrestris NPC intracellular cholesterol transporter 1 (LOC100650737), transcript variant X6, mRNA
XM_020865608.2	PREDICTED: Bombus terrestris uncharacterized LOC100650973 (LOC100650973), transcript variant X5, mRNA
XM_020865612.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X1, mRNA
XM_020865613.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X3, mRNA
XM_020865614.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X2, mRNA
XM_020865615.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X4, mRNA
XM_020865616.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X6, mRNA
XM_020865617.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X14, mRNA
XM_020865618.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X15, mRNA
XM_020865619.2	PREDICTED: Bombus terrestris FERM, ARHGEF and pleckstrin domain-containing protein 1 (LOC100648719), transcript variant X16, mRNA
XM_020865621.2	PREDICTED: Bombus terrestris rho guanine nucleotide exchange factor 17 (LOC100651866), transcript variant X2, mRNA
XM_020865622.2	PREDICTED: Bombus terrestris zinc finger FYVE domain-containing protein 9 (LOC100649780), transcript variant X2, mRNA
XM_020865623.2	PREDICTED: Bombus terrestris zinc finger FYVE domain-containing protein 9 (LOC100649780), transcript variant X3, mRNA
XM_020865624.2	PREDICTED: Bombus terrestris zinc finger FYVE domain-containing protein 9 (LOC100649780), transcript variant X4, mRNA
XM_020865625.2	PREDICTED: Bombus terrestris zinc finger FYVE domain-containing protein 9 (LOC100649780), transcript variant X5, mRNA
XM_020865626.2	PREDICTED: Bombus terrestris rho guanine nucleotide exchange factor 17 (LOC100651866), transcript variant X1, mRNA
XM_020865627.2	PREDICTED: Bombus terrestris FK506-binding protein 4 (LOC100645646), transcript variant X1, mRNA
XM_020865631.2	PREDICTED: Bombus terrestris 2-hydroxyacyl-CoA lyase 1 (LOC100644973), transcript variant X1, mRNA
XM_020865632.2	PREDICTED: Bombus terrestris 2-hydroxyacyl-CoA lyase 1 (LOC100644973), transcript variant X2, mRNA
XM_020865633.2	PREDICTED: Bombus terrestris sialin (LOC100645295), transcript variant X1, mRNA
XM_020865634.2	PREDICTED: Bombus terrestris arginyl-tRNA--protein transferase 1 (LOC100645093), transcript variant X1, mRNA
XM_020865637.2	PREDICTED: Bombus terrestris atypical protein kinase C (LOC100643054), transcript variant X1, mRNA
XM_020865638.2	PREDICTED: Bombus terrestris atypical protein kinase C (LOC100643054), transcript variant X3, mRNA
XM_020865639.2	PREDICTED: Bombus terrestris atypical protein kinase C (LOC100643054), transcript variant X4, mRNA
XM_020865641.2	PREDICTED: Bombus terrestris atypical protein kinase C (LOC100643054), transcript variant X6, mRNA
XM_020865642.2	PREDICTED: Bombus terrestris pre-mRNA-splicing factor CWC22 homolog (LOC105666304), mRNA
XM_020865649.2	PREDICTED: Bombus terrestris phosphatidylinositol 4-phosphate 5-kinase 2 (LOC110119720), mRNA
XM_020865654.2	PREDICTED: Bombus terrestris SWI/SNF chromatin-remodeling complex subunit SNF5 (LOC110119724), mRNA
XM_020865655.2	PREDICTED: Bombus terrestris uncharacterized LOC100647905 (LOC100647905), mRNA
XM_020865657.2	PREDICTED: Bombus terrestris uncharacterized LOC100645208 (LOC100645208), transcript variant X6, mRNA
XM_020865665.2	PREDICTED: Bombus terrestris UDP-glucosyltransferase 2 (LOC100645384), transcript variant X3, mRNA
XM_020865666.2	PREDICTED: Bombus terrestris calcitonin gene-related peptide type 1 receptor (LOC100645019), transcript variant X2, mRNA
XM_020865667.2	PREDICTED: Bombus terrestris calcitonin gene-related peptide type 1 receptor (LOC100645019), transcript variant X4, mRNA
XM_020865669.2	PREDICTED: Bombus terrestris calcitonin gene-related peptide type 1 receptor (LOC100645019), transcript variant X10, mRNA
XM_020865670.2	PREDICTED: Bombus terrestris calcitonin gene-related peptide type 1 receptor (LOC100645019), transcript variant X11, mRNA
XM_020865671.2	PREDICTED: Bombus terrestris probable ATP-dependent RNA helicase ddx42 (LOC105666853), transcript variant X1, mRNA
XM_020865672.2	PREDICTED: Bombus terrestris KH domain-containing protein akap-1 (LOC100644570), transcript variant X1, mRNA
XM_020865673.2	PREDICTED: Bombus terrestris KH domain-containing protein akap-1 (LOC100644570), transcript variant X3, mRNA
XM_020865674.1	PREDICTED: Bombus terrestris REPTOR-binding partner (LOC100649759), transcript variant X1, mRNA
XM_020865681.2	PREDICTED: Bombus terrestris venom dipeptidyl peptidase 4 (LOC100652050), transcript variant X2, mRNA
XM_020865684.2	PREDICTED: Bombus terrestris serine protease inhibitor 3/4 (LOC100652301), transcript variant X1, mRNA
XM_020865687.2	PREDICTED: Bombus terrestris uncharacterized LOC100651089 (LOC100651089), transcript variant X4, mRNA
XM_020865688.2	PREDICTED: Bombus terrestris KH domain-containing, RNA-binding, signal transduction-associated protein 2 (LOC100647173), transcript variant X2, mRNA
XM_020865689.2	PREDICTED: Bombus terrestris KH domain-containing, RNA-binding, signal transduction-associated protein 2 (LOC100647173), transcript variant X3, mRNA
XM_020865694.2	PREDICTED: Bombus terrestris L-galactose dehydrogenase (LOC100647407), transcript variant X2, mRNA
XM_020865695.2	PREDICTED: Bombus terrestris sorting nexin-25 (LOC100646959), transcript variant X3, mRNA
XM_020865697.2	PREDICTED: Bombus terrestris bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial (LOC100648062), mRNA
XM_020865698.2	PREDICTED: Bombus terrestris uncharacterized LOC110119729 (LOC110119729), mRNA
XM_020865699.2	PREDICTED: Bombus terrestris venom carboxylesterase-6 (LOC100647870), transcript variant X2, mRNA
XM_020865700.2	PREDICTED: Bombus terrestris sodium-coupled monocarboxylate transporter 1 (LOC100652088), mRNA
XM_020865702.2	PREDICTED: Bombus terrestris amyloid beta A4 precursor protein-binding family B member 1-interacting protein (LOC100643056), transcript variant X1, mRNA
XM_020865703.2	PREDICTED: Bombus terrestris WD repeat-containing protein CG11141 (LOC100643313), transcript variant X2, mRNA
XM_020865704.2	PREDICTED: Bombus terrestris amyloid beta A4 precursor protein-binding family B member 1-interacting protein (LOC100643056), transcript variant X4, mRNA
XM_020865705.2	PREDICTED: Bombus terrestris protein trachealess (LOC100643623), transcript variant X4, mRNA
XM_020865706.2	PREDICTED: Bombus terrestris protein trachealess (LOC100643623), transcript variant X6, mRNA
XM_020865712.2	PREDICTED: Bombus terrestris uncharacterized LOC100647747 (LOC100647747), transcript variant X2, mRNA
XM_020865718.2	PREDICTED: Bombus terrestris tudor and KH domain-containing protein homolog (LOC100650699), transcript variant X2, mRNA
XM_020865733.2	PREDICTED: Bombus terrestris casein kinase I (LOC100642629), transcript variant X7, mRNA
XM_020865734.2	PREDICTED: Bombus terrestris LIM domain transcription factor LMO4.1 (LOC100650779), transcript variant X8, mRNA
XM_020865736.2	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 50 (LOC100645921), transcript variant X3, mRNA
XM_020865737.2	PREDICTED: Bombus terrestris casein kinase I (LOC100642629), transcript variant X10, mRNA
XM_020865738.2	PREDICTED: Bombus terrestris excitatory amino acid transporter 3 (LOC100651015), transcript variant X1, mRNA
XM_020865739.2	PREDICTED: Bombus terrestris excitatory amino acid transporter 3 (LOC100651015), transcript variant X3, mRNA
XM_020865740.2	PREDICTED: Bombus terrestris Krueppel-like factor 6 (LOC100643418), transcript variant X6, mRNA
XM_020865741.2	PREDICTED: Bombus terrestris casein kinase I (LOC100642629), transcript variant X11, mRNA
XM_020865745.2	PREDICTED: Bombus terrestris casein kinase I (LOC100642629), transcript variant X12, mRNA
XM_020865746.2	PREDICTED: Bombus terrestris casein kinase I (LOC100642629), transcript variant X13, mRNA
XM_020865749.2	PREDICTED: Bombus terrestris DNA N6-methyl adenine demethylase (LOC100642293), transcript variant X3, mRNA
XM_020865750.2	PREDICTED: Bombus terrestris NF-kappa-B transcription factor relish (LOC100631072), transcript variant X1, mRNA
XM_020865751.2	PREDICTED: Bombus terrestris NF-kappa-B transcription factor relish (LOC100631072), transcript variant X2, mRNA
XM_020865752.2	PREDICTED: Bombus terrestris vesicle transport protein SFT2B (LOC100651049), transcript variant X1, mRNA
XM_020865756.2	PREDICTED: Bombus terrestris neural-cadherin (LOC105666339), transcript variant X1, mRNA
XM_020865758.2	PREDICTED: Bombus terrestris neural-cadherin (LOC105666339), transcript variant X2, mRNA
XM_020865759.2	PREDICTED: Bombus terrestris serine/arginine repetitive matrix protein 2 (LOC100642972), transcript variant X2, mRNA
XM_020865773.2	PREDICTED: Bombus terrestris uncharacterized LOC100652324 (LOC100652324), mRNA
XM_020865777.2	PREDICTED: Bombus terrestris organic cation transporter protein (LOC100644938), transcript variant X14, mRNA
XM_020865778.2	PREDICTED: Bombus terrestris ras GTPase-activating protein 1 (LOC100651514), transcript variant X2, mRNA
XM_020865779.2	PREDICTED: Bombus terrestris sodium leak channel NALCN (LOC100650780), transcript variant X3, mRNA
XM_020865780.2	PREDICTED: Bombus terrestris sodium leak channel NALCN (LOC100650780), transcript variant X4, mRNA
XM_020865783.2	PREDICTED: Bombus terrestris zinc transporter ZIP3 (LOC100643822), transcript variant X6, mRNA
XM_020865784.2	PREDICTED: Bombus terrestris fatty-acid amide hydrolase 2 (LOC100650536), transcript variant X1, mRNA
XM_020865787.2	PREDICTED: Bombus terrestris putative malate dehydrogenase 1B (LOC105666369), mRNA
XM_020865794.2	PREDICTED: Bombus terrestris organic cation transporter protein (LOC100648294), transcript variant X3, mRNA
XM_020865796.2	PREDICTED: Bombus terrestris centrosomin (LOC100648065), transcript variant X4, mRNA
XM_020865797.2	PREDICTED: Bombus terrestris golgin subfamily A member 1 (LOC100647938), transcript variant X2, mRNA
XM_020865800.2	PREDICTED: Bombus terrestris vitamin K-dependent gamma-carboxylase (LOC100645769), transcript variant X1, mRNA
XM_020865801.2	PREDICTED: Bombus terrestris vitamin K-dependent gamma-carboxylase (LOC100645769), transcript variant X3, mRNA
XM_020865808.2	PREDICTED: Bombus terrestris uncharacterized LOC100647547 (LOC100647547), transcript variant X5, mRNA
XM_020865829.2	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 6 (LOC100644494), transcript variant X2, mRNA
XM_020865830.2	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 6 (LOC100644494), transcript variant X1, mRNA
XM_020865831.2	PREDICTED: Bombus terrestris ankyrin repeat domain-containing protein 6 (LOC100644494), transcript variant X3, mRNA
XM_020865838.2	PREDICTED: Bombus terrestris poly(ADP-ribose) glycohydrolase (LOC105666314), transcript variant X3, mRNA
XM_020865839.2	PREDICTED: Bombus terrestris alpha-catulin (LOC100646853), transcript variant X1, mRNA
XM_020865847.2	PREDICTED: Bombus terrestris acetyl-CoA carboxylase (LOC100647039), transcript variant X1, mRNA
XM_020865848.2	PREDICTED: Bombus terrestris acetyl-CoA carboxylase (LOC100647039), transcript variant X2, mRNA
XM_020865849.2	PREDICTED: Bombus terrestris acetyl-CoA carboxylase (LOC100647039), transcript variant X3, mRNA
XM_020865850.2	PREDICTED: Bombus terrestris acetyl-CoA carboxylase (LOC100647039), transcript variant X5, mRNA
XM_020865852.2	PREDICTED: Bombus terrestris acetyl-CoA carboxylase (LOC100647039), transcript variant X8, mRNA
XM_020865853.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X2, mRNA
XM_020865855.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X3, mRNA
XM_020865857.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X5, mRNA
XM_020865859.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X6, mRNA
XM_020865860.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X8, mRNA
XM_020865862.2	PREDICTED: Bombus terrestris GTPase-activating protein CdGAPr (LOC100646797), transcript variant X9, mRNA
XM_020865863.2	PREDICTED: Bombus terrestris 26S proteasome non-ATPase regulatory subunit 13 (LOC100647433), mRNA
XM_020865875.2	PREDICTED: Bombus terrestris uncharacterized LOC100651729 (LOC100651729), mRNA
XM_020865879.2	PREDICTED: Bombus terrestris growth factor receptor-bound protein 14 (LOC100645806), transcript variant X4, mRNA
XM_020865880.2	PREDICTED: Bombus terrestris growth factor receptor-bound protein 14 (LOC100645806), transcript variant X5, mRNA
XM_020865882.2	PREDICTED: Bombus terrestris metabotropic glutamate receptor 6 (LOC100647233), mRNA
XM_020865886.2	PREDICTED: Bombus terrestris uncharacterized LOC100648878 (LOC100648878), transcript variant X4, mRNA
XM_020865897.2	PREDICTED: Bombus terrestris prenylcysteine oxidase (LOC100649389), transcript variant X1, mRNA
XM_020865898.2	PREDICTED: Bombus terrestris prenylcysteine oxidase (LOC100649389), transcript variant X3, mRNA
XM_020865900.2	PREDICTED: Bombus terrestris transmembrane protein 115 (LOC100649854), mRNA
XM_020865903.2	PREDICTED: Bombus terrestris odorant receptor 13a (LOC100650413), mRNA
XM_020865909.2	PREDICTED: Bombus terrestris protein eyes shut (LOC100649822), mRNA
XM_020865910.2	PREDICTED: Bombus terrestris nucleolar pre-ribosomal-associated protein 1 (LOC100649348), transcript variant X1, mRNA
XM_020865912.2	PREDICTED: Bombus terrestris uncharacterized LOC110119754 (LOC110119754), mRNA
XM_020865913.2	PREDICTED: Bombus terrestris gastrula zinc finger protein XlCGF7.1 (LOC105666365), mRNA
XM_020865917.2	PREDICTED: Bombus terrestris uncharacterized LOC100651969 (LOC100651969), mRNA
XM_020865919.2	PREDICTED: Bombus terrestris uncharacterized LOC100644222 (LOC100644222), transcript variant X10, mRNA
XM_020865922.2	PREDICTED: Bombus terrestris transcription factor cwo (LOC100652291), transcript variant X2, mRNA
XM_020865923.2	PREDICTED: Bombus terrestris transcription factor cwo (LOC100652291), transcript variant X4, mRNA
XM_020865924.2	PREDICTED: Bombus terrestris calcium-transporting ATPase sarcoplasmic/endoplasmic reticulum type (LOC100642652), transcript variant X3, mRNA
